antiguedad_meses,cargo_mensual,reclamaciones_3m,uso_datos_gb,contrato_anual,churn,gasto_total_estimado,ratio_reclamaciones_mes,costo_por_gb,cargo_mensual_norm,uso_datos_gb_norm,gasto_total_estimado_norm
28,90.037921750519,0,44.9043767724738,1,0,2521.061809014532,0.0,1.9614234650607332,0.6365719692240674,0.1965527782293958,0.2783878425097613
44,97.80794054861543,1,8.84185852462631,0,1,4303.549384139079,0.022222222222222223,9.93795433086955,0.7072388189011444,0.03863135904802535,0.4768026847972472
43,42.95797197406533,2,32.78745473899796,0,1,1847.1927948848092,0.045454545454545456,1.271417817823449,0.20838874082929723,0.14349154965724148,0.20337715742735324
29,121.77714532144533,1,11.928232698966664,1,1,3531.5372143219147,0.03333333333333333,9.419473500904637,0.925234197622186,0.05214690409085251,0.39086734642183696
61,50.556324730350156,2,39.487476193919356,1,0,3083.9358085513595,0.03225806451612903,1.2486904466014357,0.27749432036191435,0.1728316220680186,0.3410432895403093
46,40.367564640745385,3,50.37983684008728,0,1,1856.9079734742877,0.06382978723404255,0.7856693816756155,0.18482947663923313,0.22053037232323183,0.20445858747742887
38,90.57416879576954,0,34.680801450043774,1,1,3441.8184142392424,0.0,2.5384566802004507,0.6414490345595825,0.15178270662958024,0.38088043721862297
40,66.8264642476503,1,0.6536253561830968,1,0,2673.058569906012,0.024390243902439025,40.41209455199657,0.42546815844011776,0.0027742568439743528,0.29530712641466283
12,24.506064561537002,0,2.8851011751740554,0,1,294.072774738444,0.0,6.307703057550133,0.04057213687256922,0.012546115419740815,0.030494009094975166
70,66.43601403169163,2,35.817850555215266,0,1,4650.520982218414,0.028169014084507043,1.8044511841357598,0.4219170876596592,0.15676195980134972,0.5154252905712806
35,97.15408874117261,2,8.174020567652732,0,1,3400.3931059410415,0.05555555555555555,10.59013199553252,0.7012921605225357,0.035706829007621156,0.37626924321794464
67,120.32492136031473,1,9.75085125265169,0,1,8061.7697311410875,0.014705882352941176,11.192129677232458,0.9120264956815155,0.042611930250755534,0.8951431589965813
